Cr,Ti,Zr,MaxFWHM
0.17390399,0.677512984,0.148583026,0.53249554
0.191453788,0.653418428,0.155127784,0.532409543
0.210247163,0.628341586,0.161411251,0.540352903
0.230286846,0.602355296,0.167357858,0.552449631
0.251549742,0.575558517,0.172891741,0.552065955
0.273996698,0.548065228,0.177938073,0.560240485
0.297564046,0.520014653,0.182421301,0.558015998
0.322165495,0.491557343,0.186277162,0.563857116
0.34769242,0.462866837,0.189440743,0.570313467
0.374013059,0.434121157,0.191865785,0.563965945
0.400980636,0.405508546,0.193510818,0.564606804
0.428427392,0.377221465,0.194351143,0.565717206
0.456177053,0.349446404,0.194376544,0.568438164
0.48404315,0.322364579,0.193592271,0.571355793
0.511840338,0.296141993,0.192017668,0.572618962
0.539384511,0.270928665,0.189686824,0.575394511
0.566499405,0.246853841,0.186646755,0.57256206
0.593021541,0.224022675,0.182955784,0.572893573
0.618807219,0.20251312,0.178679661,0.57275755
0.6437258,0.182381824,0.173892377,0.574042122
0.66767267,0.163657639,0.168669691,0.573439028
0.690563201,0.146346961,0.163089838,0.708177702
0.71233349,0.130434715,0.157231795,0.71380704
0.163941987,0.697019873,0.139038141,0.552631521
0.180801554,0.673622032,0.145576414,0.560187073
0.198898445,0.649191341,0.151910214,0.56548983
0.218242928,0.62378972,0.157967352,0.573074927
0.238825477,0.597498466,0.163676057,0.57230932
0.260617572,0.570422444,0.168959984,0.572428603
0.283569351,0.54268371,0.173746939,0.579254842
0.307610796,0.514423731,0.177965473,0.57556865
0.332645065,0.48580359,0.181551345,0.577581911
0.358555807,0.456997176,0.184447018,0.571547835
0.385206889,0.42818587,0.186607241,0.573089286
0.412440308,0.399562659,0.187997033,0.572309239
0.440088375,0.371316397,0.188595228,0.567271828
0.46797022,0.343634608,0.188395172,0.57072385
0.495899854,0.31669494,0.187405206,0.567984933
0.523693412,0.290657716,0.185648872,0.56843203
0.55116797,0.265669278,0.183162752,0.568739346
0.578153519,0.241850213,0.179996268,0.569009174
0.604494199,0.219299183,0.176206618,0.565623553
0.630047986,0.198089688,0.171862326,0.561248328
0.654696777,0.178267825,0.167035398,0.561031137
0.678339926,0.159857776,0.161802298,0.560237458
0.700901006,0.142860397,0.156238597,0.673780055
0.170466572,0.69322586,0.136307567,0.597256968
0.187863506,0.669495869,0.142640625,0.584131045
0.206504513,0.644741286,0.148754201,0.591281892
0.226390156,0.619030108,0.154579736,0.592808801
0.247503891,0.592453907,0.160042202,0.589090452
0.269810297,0.565118822,0.165070881,0.592955344
0.29325193,0.537154831,0.169593239,0.581650976
0.317746426,0.508711095,0.173542479,0.591393002
0.34319038,0.479951742,0.176857878,0.584118846
0.36946043,0.451053409,0.179486161,0.57915354
0.396413684,0.422202164,0.181384152,0.576700455
0.423888483,0.393590261,0.182521256,0.573843173
0.451708774,0.365408844,0.182882382,0.568653386
0.479696407,0.337839389,0.182464204,0.565906984
0.5076625,0.311058582,0.181278918,0.564911116
0.535427407,0.28522148,0.179351113,0.562137208
0.562808225,0.260468944,0.176722831,0.561706543
0.589643358,0.236915626,0.173441015,0.561116212
0.615779588,0.214653163,0.169567249,0.557353545
0.641085651,0.193745296,0.165169053,0.551785379
0.665448218,0.174234106,0.160317676,0.550499865
0.68877356,0.156137836,0.155088604,0.546728086
0.710995014,0.139449563,0.149555423,0.586428886
0.177158696,0.689190737,0.133650567,0.616837324
0.195089489,0.665137855,0.139772656,0.622207223
0.214264966,0.640073188,0.145661846,0.614926144
0.234682684,0.614069107,0.151248209,0.609948124
0.256315208,0.587223936,0.156460856,0.615062319
0.27912033,0.559648925,0.161230746,0.605797643
0.303030546,0.531483007,0.165486447,0.610413257
0.327956825,0.502876299,0.169166876,0.595853579
0.353787499,0.474000832,0.172211669,0.595741137
0.38039276,0.445033408,0.174573832,0.591555486
0.407620074,0.416167251,0.176212675,0.583784414
0.435304953,0.387589457,0.17710559,0.574951071
0.46326958,0.359494274,0.177236146,0.571344947
0.491333632,0.332058226,0.176608142,0.562339605
0.519309873,0.305452655,0.175237472,0.55980985
0.547016229,0.279832285,0.173151486,0.557547839
0.574281632,0.255327453,0.170390915,0.553946723
0.600943713,0.232047572,0.167008714,0.550177444
0.62685807,0.210076568,0.163065361,0.545374256
0.651898138,0.189474363,0.158627499,0.541263121
0.675958944,0.17027499,0.153766065,0.537941526
0.698956976,0.152489654,0.148553369,0.532176696
0.72082827,0.136107943,0.143063787,0.496274923
0.184014702,0.684921087,0.131064211,0.651583333
0.202472178,0.660557425,0.136970396,0.66099662
0.222175725,0.635195092,0.142629184,0.652510197
0.243112568,0.608912748,0.147974684,0.644827647
0.265250365,0.581814368,0.152935267,0.634497929
0.288536551,0.55401954,0.157443909,0.629800076
0.312895154,0.52567117,0.161433676,0.627920928
0.338229899,0.496924927,0.164845173,0.61649512
0.364421756,0.467955345,0.167622899,0.606944508
0.391332203,0.43894532,0.169722477,0.600228192
0.418805343,0.410085048,0.171109609,0.588504943
0.446672329,0.381564163,0.171763508,0.576517231
0.474752657,0.353573225,0.171674118,0.568499494
0.502863372,0.326289685,0.170846943,0.559804002
0.530821177,0.299877475,0.169301348,0.557175242
0.558446003,0.274485171,0.167068826,0.552932005
0.585569617,0.250238961,0.164191422,0.546593314
0.612037411,0.227240418,0.160722172,0.540690722
0.637709272,0.205568712,0.156722016,0.536174575
0.662467669,0.185274289,0.152258042,0.532197829
0.686213797,0.166387418,0.147398785,0.526001881
0.708870727,0.148913578,0.142215695,0.515917113
0.730383182,0.132835188,0.13678163,0.469112736
0.210011438,0.655759064,0.134229498,0.693479271
0.230232498,0.630109851,0.139657651,0.690545822
0.251674961,0.603565799,0.14475924,0.674540999
0.274301176,0.576232393,0.149466431,0.666580347
0.298050336,0.548235202,0.153714462,0.65838152
0.322834918,0.519725867,0.157439215,0.640061074
0.348553353,0.490862046,0.160584601,0.631431573
0.375078982,0.461821365,0.163099653,0.613587294
0.402267081,0.432789594,0.164943325,0.599599098
0.429957355,0.40395769,0.166084955,0.592112509
0.457974878,0.375515563,0.166509558,0.578160175
0.486140015,0.347649875,0.166210109,0.561994894
0.5142704,0.320533726,0.165195875,0.555604923
0.54218071,0.294331123,0.163488167,0.55030773
0.56969669,0.269181742,0.161121569,0.54469351
0.596656781,0.245203093,0.158140126,0.541906052
0.622907524,0.222495441,0.154597035,0.533203937
0.648319934,0.201126474,0.150553593,0.528299976
0.672780295,0.18114416,0.146075544,0.520508344
0.696199697,0.162569394,0.141230908,0.503773385
0.718506932,0.145404063,0.136089006,0.447342231
0.217697388,0.650755331,0.131547282,0.733877464
0.238425557,0.624832523,0.13674192,0.720126095
0.260361547,0.598038356,0.141600097,0.699427772
0.283460282,0.57048492,0.146054798,0.687739392
0.307649314,0.54230638,0.150044306,0.674737681
0.332838511,0.513653781,0.153507708,0.662920616
0.358915294,0.48469376,0.156390945,0.648592146
0.385746305,0.455605263,0.158648431,0.629388411
0.413183515,0.426573095,0.16024339,0.615447147
0.441059818,0.397790607,0.161149575,0.601785182
0.469198398,0.369447801,0.161353802,0.587833382
0.497418515,0.341726269,0.160855215,0.571030211
0.525537089,0.314797426,0.159665485,0.552296967
0.55337456,0.288816539,0.1578089,0.546447214
0.580757933,0.263920101,0.155321966,0.541877686
0.607529069,0.240221888,0.152249043,0.536232659
0.633544865,0.217809343,0.148645792,0.529233331
0.658679412,0.19674932,0.144571268,0.517147819
0.682828129,0.177080692,0.140091179,0.492156756
0.705908812,0.158819349,0.135271839,0.42274323
0.727856792,0.141961983,0.130181225,0.655013798
0.246749285,0.619367951,0.133882764,0.756758692
0.269165047,0.592338368,0.138496585,0.741810739
0.292715844,0.564582265,0.142701891,0.723514495
0.317326117,0.5362391,0.146434783,0.697700303
0.342895037,0.507464219,0.149640744,0.673867205
0.369303925,0.478427494,0.152268581,0.661276669
0.396413116,0.44931104,0.154275844,0.639432738
0.424068821,0.420300248,0.155630931,0.627574619
0.452100663,0.391589562,0.156309776,0.602616504
0.480330365,0.363363952,0.156305682,0.586210753
0.508576018,0.3358044,0.155619582,0.569071559
0.536654529,0.309078119,0.154267353,0.551382428
0.564392119,0.283333622,0.152274258,0.542214978
0.591616961,0.258703411,0.149679627,0.534760055
0.618180317,0.235291401,0.146528283,0.5279018
0.643940436,0.213183702,0.142875861,0.514918477
0.66878157,0.192435917,0.138782513,0.481584231
0.692606282,0.173082214,0.134311504,0.409079154
0.715336793,0.155135016,0.12952819,0.203537718
0.278074247,0.586477965,0.135447787,0.750216015
0.30205931,0.558535885,0.139404805,0.723903304
0.327068134,0.530044785,0.14288708,0.70549828
0.35299167,0.501167158,0.145841172,0.684556682
0.379706748,0.47207374,0.148219511,0.661803853
0.407065679,0.442949124,0.149985197,0.63906682
0.434911151,0.413980521,0.151108328,0.624354911
0.463066945,0.385360786,0.151572269,0.602508053
0.491358313,0.357270885,0.151370802,0.585643153
0.519600444,0.329891174,0.150508382,0.567752237
0.547612722,0.303381803,0.149005475,0.545869294
0.575223563,0.27788768,0.146888757,0.535295334
0.602269271,0.253531562,0.144199167,0.524961924
0.628601761,0.230415839,0.1409824,0.513815885
0.654088949,0.208617075,0.137293975,0.478451311
0.678622502,0.188184459,0.13319304,0.386789204
0.702111171,0.169148395,0.128740435,0.152775882
0.311483663,0.552352966,0.136163372,0.745920903
0.336868642,0.523732557,0.139398801,0.711655657
0.36312228,0.494769539,0.14210818,0.679301335
0.3901149,0.465640215,0.144244885,0.668206668
0.417695165,0.436527556,0.14577728,0.641054133
0.445698478,0.407620646,0.146680876,0.618655458
0.47395247,0.379108863,0.146938667,0.603517605
0.502274594,0.351173506,0.1465519,0.581573094
0.530484555,0.323987855,0.14552759,0.563347925
0.558404108,0.29771023,0.143885661,0.543962571
0.585865153,0.272475997,0.14165885,0.524051013
0.612707686,0.248406506,0.138885808,0.508918176
0.638790498,0.225594009,0.135615493,0.475547806
0.663990271,0.20410849,0.131901239,0.382754855
0.688203454,0.183994301,0.127802245,0.791873912
0.346715715,0.517312619,0.135971666,0.792407888
0.373275205,0.488282986,0.138441809,0.696971294
0.4005186,0.459134871,0.140346529,0.658825709
0.428290958,0.430053117,0.141655925,0.643232748
0.456426317,0.401225107,0.142348576,0.621139808
0.484746255,0.372840366,0.14241338,0.596537362
0.513071952,0.345076528,0.14185152,0.575078269
0.541223215,0.318100178,0.140676607,0.559793533
0.569024262,0.29206622,0.138909518,0.536715243
0.596311939,0.267104337,0.136583724,0.518650383
0.622931072,0.243328593,0.133740334,0.486200824
0.648747464,0.220824873,0.130427664,0.376651375
0.67364441,0.199657473,0.126698117,0.025131303
0.410910053,0.452566722,0.136523225,0.039493838
0.438849289,0.42353183,0.137618881,0.606536535
0.467086307,0.394802894,0.138110799,0.615157322
0.495445508,0.366560933,0.137993559,0.600784629
0.523746426,0.338982131,0.137271443,0.569521798
0.551812299,0.312230213,0.135957488,0.552437969
0.579470391,0.286452245,0.134077364,0.510517783
0.606564356,0.261771052,0.131664592,0.389108209
0.632939737,0.238298623,0.128761641,0.389108209
0.534293982,0.332896534,0.132809484,0.937430998
