Formula,Cr,Ti,Zr,MaxFWHM,composition,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Yang omega,Yang delta
Cr0.254628489Ti0.513713797Zr0.231657714,0.254628489,0.513713797,0.231657714,0.484593821,Cr0.25462849 Ti0.5137138 Zr0.23165771,-0.159426059,-0.067895922,-0.044073341,2.695090572,0.068522625
Cr0.277253714Ti0.486835384Zr0.235910901,0.277253714,0.486835384,0.235910901,0.49627776,Cr0.27725371 Ti0.48683538 Zr0.2359109,-0.16999594,-0.076429818,-0.045291334,2.580453019,0.070242499
Cr0.30103329Ti0.45958013Zr0.239386581,0.30103329,0.45958013,0.239386581,0.503027086,Cr0.30103329 Ti0.45958013 Zr0.23938658,-0.179912886,-0.084406473,-0.04584127,2.47523391,0.071908361
Cr0.32585938Ti0.432103179Zr0.242037441,0.32585938,0.432103179,0.242037441,0.519911103,Cr0.32585938 Ti0.43210318 Zr0.24203744,-0.188811301,-0.091557888,-0.04564112,2.378958571,0.073503645
Cr0.35159917Ti0.404572989Zr0.243827842,0.35159917,0.404572989,0.243827842,0.523025318,Cr0.35159917 Ti0.40457299 Zr0.24382784,-0.196329562,-0.097620549,-0.047189458,2.291122062,0.07501128
Cr0.378094919Ti0.377164681Zr0.2447404,0.378094919,0.377164681,0.2447404,0.529345962,Cr0.37809492 Ti0.37716468 Zr0.2447404,-0.202148212,-0.102360865,-0.049055737,2.211202755,0.076414538
Cr0.405162828Ti0.350062824Zr0.244774348,0.405162828,0.350062824,0.244774348,0.543219622,Cr0.40516283 Ti0.35006282 Zr0.24477435,-0.206027695,-0.105600378,-0.050177695,2.138679196,0.077697261
Cr0.432602858Ti0.323449369Zr0.243947773,0.432602858,0.323449369,0.243947773,0.557290387,Cr0.43260286 Ti0.32344937 Zr0.24394777,-0.207841207,-0.107238686,-0.050573324,2.073015725,0.078844966
Cr0.460203445Ti0.297503263Zr0.242293292,0.460203445,0.297503263,0.242293292,0.567160838,Cr0.46020344 Ti0.29750326 Zr0.24229329,-0.207589352,-0.107264476,-0.0502946,2.01367614,0.079845108
Cr0.487746088Ti0.272394283Zr0.239859629,0.487746088,0.272394283,0.239859629,0.577304176,Cr0.48774609 Ti0.27239428 Zr0.23985963,-0.205397545,-0.10575559,-0.049423693,1.960130535,0.08068779
Cr0.152127989Ti0.657628195Zr0.190243816,0.152127989,0.657628195,0.190243816,0.359220489,Cr0.15212799 Ti0.6576282 Zr0.19024382,-0.10103947,-0.019562325,-0.029906708,3.505668107,0.058051986
Cr0.167649614Ti0.634803249Zr0.197547137,0.167649614,0.634803249,0.197547137,0.409179929,Cr0.16764961 Ti0.63480325 Zr0.19754714,-0.110512742,-0.027567894,-0.032908526,3.334775322,0.059846757
Cr0.184427599Ti0.611037903Zr0.204534497,0.184427599,0.611037903,0.204534497,0.441715463,Cr0.1844276 Ti0.6110379 Zr0.2045345,-0.120510909,-0.035942019,-0.035826003,3.175246596,0.061654143
Cr0.202486777Ti0.58639157Zr0.211121653,0.202486777,0.58639157,0.211121653,0.455675379,Cr0.20248678 Ti0.58639157 Zr0.21112165,-0.130943813,-0.044602478,-0.038567816,3.026712886,0.063465577
Cr0.221837141Ti0.560939598Zr0.21722326,0.221837141,0.560939598,0.21722326,0.471149126,Cr0.22183714 Ti0.5609396 Zr0.21722326,-0.141676193,-0.053434734,-0.041032688,2.888773421,0.065270997
Cr0.242467459Ti0.534777659Zr0.222754882,0.242467459,0.534777659,0.222754882,0.477984754,Cr0.24246746 Ti0.53477766 Zr0.22275488,-0.152518098,-0.062286111,-0.043112524,2.761026437,0.067058556
Cr0.264341054Ti0.508019921Zr0.227639025,0.264341054,0.508019921,0.227639025,0.499512374,Cr0.26434105 Ti0.50801992 Zr0.22763902,-0.163221091,-0.070964319,-0.044697591,2.643070041,0.068814875
Cr0.28740122Ti0.480795764Zr0.231803016,0.28740122,0.480795764,0.231803016,0.503197728,Cr0.28740122 Ti0.48079576 Zr0.23180302,-0.173484337,-0.079242933,-0.045683413,2.534455976,0.070525305
Cr0.311558835Ti0.453255398Zr0.235185767,0.311558835,0.453255398,0.235185767,0.507529754,Cr0.31155883 Ti0.4532554 Zr0.23518577,-0.182963082,-0.086867166,-0.045977283,2.434751142,0.072173836
Cr0.336700591Ti0.425561806Zr0.237737603,0.336700591,0.425561806,0.237737603,0.521151213,Cr0.33670059 Ti0.42556181 Zr0.2377376,-0.191296024,-0.09357301,-0.045977492,2.343492342,0.07374381
Cr0.362687797Ti0.397886496Zr0.239425706,0.362687797,0.397886496,0.239425706,0.526643047,Cr0.3626878 Ti0.3978865 Zr0.23942571,-0.198138238,-0.099109163,-0.048331461,2.26020095,0.075218537
Cr0.389355574Ti0.37041302Zr0.240231407,0.389355574,0.37041302,0.240231407,0.537664256,Cr0.38935557 Ti0.37041302 Zr0.24023141,-0.203198294,-0.103261609,-0.049955492,2.1843962,0.07658137
Cr0.416520466Ti0.343326119Zr0.240153416,0.416520466,0.343326119,0.240153416,0.553137603,Cr0.41652047 Ti0.34332612 Zr0.24015342,-0.206276137,-0.105879439,-0.050845606,2.115584569,0.077816725
Cr0.443984083Ti0.316806243Zr0.239209675,0.443984083,0.316806243,0.239209675,0.559496516,Cr0.44398408 Ti0.31680624 Zr0.23920968,-0.207288815,-0.106892937,-0.051031807,2.053266134,0.078910791
Cr0.471540609Ti0.29102782Zr0.23743157,0.471540609,0.29102782,0.23743157,0.57274615,Cr0.47154061 Ti0.29102782 Zr0.23743157,-0.206278791,-0.106320525,-0.05057686,1.996941272,0.079851732
Cr0.498979128Ti0.266153645Zr0.234867227,0.498979128,0.266153645,0.234867227,0.584021517,Cr0.49897913 Ti0.26615364 Zr0.23486723,-0.203405523,-0.104264908,-0.049571472,1.946119391,0.080630416
