Formula,Cr,Ti,Zr,MaxFWHM,composition,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Yang omega,Yang delta
Cr0.281203666Ti0.513640142Zr0.205156192,0.281203666,0.513640142,0.205156192,0.523079121,Cr0.28120367 Ti0.51364014 Zr0.20515619,-0.16616592,-0.073381906,-0.04527583,2.557059167,0.067958811
Cr0.304991897Ti0.485674759Zr0.209333344,0.304991897,0.485674759,0.209333344,0.529479765,Cr0.3049919 Ti0.48567476 Zr0.20933334,-0.175675014,-0.081066059,-0.046009088,2.462067675,0.069657541
Cr0.329781667Ti0.457448734Zr0.212769599,0.329781667,0.457448734,0.212769599,0.539731404,Cr0.32978167 Ti0.45744873 Zr0.2127696,-0.184242998,-0.087978149,-0.046053334,2.374703367,0.071279357
Cr0.355450681Ti0.429136218Zr0.215413101,0.355450681,0.429136218,0.215413101,0.540461619,Cr0.35545068 Ti0.42913622 Zr0.2154131,-0.191530622,-0.093870643,-0.04844318,2.294596417,0.072807964
Cr0.381856419Ti0.400922082Zr0.217221499,0.381856419,0.400922082,0.217221499,0.545311965,Cr0.38185642 Ti0.40092208 Zr0.2172215,-0.19722748,-0.098516996,-0.050651191,2.221364824,0.074226877
Cr0.408835796Ti0.372994059Zr0.218170145,0.408835796,0.372994059,0.218170145,0.553239015,Cr0.4088358 Ti0.37299406 Zr0.21817015,-0.201088242,-0.101735896,-0.052156515,2.154624695,0.075520356
Cr0.436212452Ti0.345537409Zr0.218250139,0.436212452,0.345537409,0.218250139,0.563041569,Cr0.43621245 Ti0.34553741 Zr0.21825014,-0.202963301,-0.103412136,-0.052967197,2.093982905,0.076673832
Cr0.463798433Ti0.3187346Zr0.217466967,0.463798433,0.3187346,0.217466967,0.57042736,Cr0.46379843 Ti0.3187346 Zr0.21746697,-0.202816831,-0.103509543,-0.053123507,2.039049851,0.077674125
Cr0.491401429Ti0.292755014Zr0.215843557,0.491401429,0.292755014,0.215843557,0.57723104,Cr0.49140143 Ti0.29275501 Zr0.21584356,-0.200730614,-0.102075107,-0.052695467,1.989435055,0.078510317
Cr0.518829837Ti0.26775035Zr0.213419813,0.518829837,0.26775035,0.213419813,0.584333298,Cr0.51882984 Ti0.26775035 Zr0.21341981,-0.196890203,-0.099231248,-0.051192169,1.944749517,0.079174199
Cr0.545898588Ti0.243855289Zr0.210246124,0.545898588,0.243855289,0.210246124,0.591826025,Cr0.54589859 Ti0.24385529 Zr0.21024612,-0.191557113,-0.095158129,-0.049055679,1.904615271,0.07966008
Cr0.572434456Ti0.221179587Zr0.206385957,0.572434456,0.221179587,0.206385957,0.596446888,Cr0.57243446 Ti0.22117959 Zr0.20638596,-0.18503628,-0.090072224,-0.046681005,1.868661972,0.079965429
Cr0.59828033Ti0.199809492Zr0.201910178,0.59828033,0.199809492,0.201910178,0.598319709,Cr0.59828033 Ti0.19980949 Zr0.20191018,-0.17764207,-0.084202808,-0.04419692,1.836535511,0.080090556
Cr0.623298612Ti0.179802712Zr0.196898676,0.623298612,0.179802712,0.196898676,0.599947458,Cr0.62329861 Ti0.17980271 Zr0.19689868,-0.169671341,-0.077772641,-0.041724536,1.807891819,0.080038989
Cr0.647374725Ti0.16119549Zr0.191429785,0.647374725,0.16119549,0.191429785,0.95895082,Cr0.64737473 Ti0.16119549 Zr0.19142978,-0.16138254,-0.070982005,-0.039372487,1.782415634,0.079816347
Cr0.139526218Ti0.709711236Zr0.150762547,0.139526218,0.709711236,0.150762547,0.43799125,Cr0.13952622 Ti0.70971124 Zr0.15076255,-0.09063103,-0.010509327,-0.02677288,3.53642315,0.053420461
Cr0.154216531Ti0.687758853Zr0.158024616,0.154216531,0.687758853,0.158024616,0.458035145,Cr0.15421653 Ti0.68775885 Zr0.15802462,-0.09931142,-0.017944866,-0.029669665,3.37573114,0.055277201
Cr0.170101155Ti0.664760148Zr0.165138696,0.170101155,0.664760148,0.165138696,0.471031641,Cr0.17010116 Ti0.66476015 Zr0.1651387,-0.10850329,-0.025755174,-0.032574437,3.225121174,0.057146606
Cr0.187212819Ti0.640752516Zr0.172034665,0.187212819,0.640752516,0.172034665,0.490076943,Cr0.18721282 Ti0.64075252 Zr0.17203467,-0.118156232,-0.033888029,-0.035416421,3.084229666,0.059021476
Cr0.205572663Ti0.615793292Zr0.178634046,0.205572663,0.615793292,0.178634046,0.497136403,Cr0.20557266 Ti0.61579329 Zr0.17863405,-0.128187931,-0.042267086,-0.038113092,2.952681722,0.060892931
Cr0.225184282Ti0.589957204Zr0.184858514,0.225184282,0.589957204,0.184858514,0.51000886,Cr0.22518428 Ti0.5899572 Zr0.18485851,-0.138475329,-0.05078644,-0.040571767,2.83013642,0.062750792
Cr0.246032761Ti0.563340371Zr0.190626868,0.246032761,0.563340371,0.190626868,0.508761014,Cr0.24603276 Ti0.56334037 Zr0.19062687,-0.148847583,-0.0593068,-0.042692761,2.716251711,0.06458325
Cr0.268082093Ti0.536057206Zr0.195860701,0.268082093,0.536057206,0.195860701,0.528003149,Cr0.26808209 Ti0.53605721 Zr0.1958607,-0.159082285,-0.067654028,-0.044373856,2.610689234,0.066377239
Cr0.291271146Ti0.508245836Zr0.200483018,0.291271146,0.508245836,0.200483018,0.538919,Cr0.29127115 Ti0.50824584 Zr0.20048302,-0.168905294,-0.075619801,-0.045515643,2.513115701,0.06811812
Cr0.315518863Ti0.480057162Zr0.204423976,0.315518863,0.480057162,0.204423976,0.550612032,Cr0.31551886 Ti0.48005716 Zr0.20442398,-0.178003322,-0.082971251,-0.046028433,2.423176598,0.069790574
Cr0.34071853Ti0.451659596Zr0.207621874,0.34071853,0.451659596,0.207621874,0.549730049,Cr0.34071853 Ti0.4516596 Zr0.20762187,-0.18604049,-0.089462053,-0.046872003,2.340521143,0.071378449
Cr0.366741378Ti0.423233281Zr0.210025341,0.366741378,0.423233281,0.210025341,0.548601684,Cr0.36674138 Ti0.42323328 Zr0.21002534,-0.192687592,-0.094852189,-0.049570114,2.264790823,0.072865305
Cr0.393437804Ti0.394962288Zr0.211599908,0.393437804,0.394962288,0.211599908,0.553134556,Cr0.3934378 Ti0.39496229 Zr0.21159991,-0.197657137,-0.098931341,-0.051586995,2.195621379,0.074235251
Cr0.420640367Ti0.367038599Zr0.212321035,0.420640367,0.367038599,0.212321035,0.559000108,Cr0.42064037 Ti0.3670386 Zr0.21232103,-0.200735489,-0.101540194,-0.052909246,2.132646739,0.075472676
Cr0.448170265Ti0.339644819Zr0.212184916,0.448170265,0.339644819,0.212184916,0.566842565,Cr0.44817027 Ti0.33964482 Zr0.21218492,-0.201812506,-0.102591124,-0.053555196,2.075491129,0.076563788
Cr0.4758382Ti0.312961997Zr0.211199803,0.4758382,0.312961997,0.211199803,0.572885256,Cr0.4758382 Ti0.312962 Zr0.2111998,-0.200892716,-0.10207646,-0.053574467,2.02378608,0.077496099
Cr0.503455196Ti0.287153435Zr0.209391369,0.503455196,0.287153435,0.209391369,0.580697043,Cr0.5034552 Ti0.28715344 Zr0.20939137,-0.198094066,-0.100069371,-0.0529372,1.977157977,0.078259634
Cr0.530831978Ti0.262367157Zr0.206800865,0.530831978,0.262367157,0.206800865,0.583615544,Cr0.53083198 Ti0.26236716 Zr0.20680087,-0.193629563,-0.096712917,-0.051106919,1.935242137,0.078847004
Cr0.557789558Ti0.238728915Zr0.203481527,0.557789558,0.238728915,0.203481527,0.589712933,Cr0.55778956 Ti0.23872892 Zr0.20348153,-0.187777322,-0.092200766,-0.04895549,1.897678488,0.079253646
Cr0.584160461Ti0.216342254Zr0.199497285,0.584160461,0.216342254,0.199497285,0.594075361,Cr0.58416046 Ti0.21634225 Zr0.19949728,-0.180847523,-0.086755068,-0.046610242,1.864119879,0.079477909
Cr0.609797062Ti0.195282226Zr0.194920712,0.609797062,0.195282226,0.194920712,0.597988241,Cr0.60979706 Ti0.19528223 Zr0.19492071,-0.173149897,-0.080603688,-0.044196377,1.834226948,0.079521204
Cr0.634568561Ti0.175602231Zr0.189829208,0.634568561,0.175602231,0.189829208,0.597217727,Cr0.63456856 Ti0.17560223 Zr0.18982921,-0.164969987,-0.073962945,-0.041830563,1.807682572,0.079387578
Cr0.658368394Ti0.157327665Zr0.184303941,0.658368394,0.157327665,0.184303941,0.900838195,Cr0.65836839 Ti0.15732767 Zr0.18430394,-0.156552107,-0.067024335,-0.039614038,1.784181995,0.079083778
Cr0.145377942Ti0.70691531Zr0.147706748,0.145377942,0.70691531,0.147706748,0.468363956,Cr0.14537794 Ti0.70691531 Zr0.14770675,-0.093436884,-0.012900322,-0.027758096,3.443609578,0.053567032
Cr0.160611255Ti0.6845814Zr0.154807345,0.160611255,0.6845814,0.154807345,0.475249954,Cr0.16061126 Ti0.6845814 Zr0.15480735,-0.102260634,-0.020445015,-0.030639985,3.290702092,0.055440026
Cr0.177052344Ti0.661203105Zr0.161744551,0.177052344,0.661203105,0.161744551,0.490162771,Cr0.17705234 Ti0.66120311 Zr0.16174455,-0.111567837,-0.02833828,-0.033506812,3.147470903,0.057321731
Cr0.194728919Ti0.63682108Zr0.16845,0.194728919,0.63682108,0.16845,0.498229087,Cr0.19472892 Ti0.63682108 Zr0.16845,-0.121297883,-0.036520047,-0.036284871,3.013559633,0.059204538
Cr0.213654919Ti0.611500755Zr0.174844327,0.213654919,0.611500755,0.174844327,0.517601744,Cr0.21365492 Ti0.61150076 Zr0.17484433,-0.131354828,-0.044903845,-0.038889049,2.888604628,0.061078756
Cr0.233825927Ti0.585322303Zr0.18085177,0.233825927,0.585322303,0.18085177,0.526859138,Cr0.23382593 Ti0.5853223 Zr0.18085177,-0.14160065,-0.053373171,-0.041225382,2.772279335,0.062933714
Cr0.255218578Ti0.558389844Zr0.186391578,0.255218578,0.558389844,0.186391578,0.530530217,Cr0.25521858 Ti0.55838984 Zr0.18639158,-0.151848123,-0.061777522,-0.043194275,2.66424879,0.064756933
Cr0.277787256Ti0.53082643Zr0.191386313,0.277787256,0.53082643,0.191386313,0.543282567,Cr0.27778726 Ti0.53082643 Zr0.19138631,-0.161858815,-0.069932151,-0.044695395,2.56418689,0.066534723
Cr0.301463424Ti0.502773905Zr0.19576267,0.301463424,0.502773905,0.19576267,0.542282778,Cr0.30146342 Ti0.5027739 Zr0.19576267,-0.171347118,-0.077621714,-0.045633476,2.471764489,0.068252272
Cr0.326156053Ti0.47439102Zr0.199452926,0.326156053,0.47439102,0.199452926,0.55479828,Cr0.32615605 Ti0.47439102 Zr0.19945293,-0.179992867,-0.084609381,-0.045924799,2.386644313,0.069893875
Cr0.35175062Ti0.445849801Zr0.202399579,0.35175062,0.445849801,0.202399579,0.554938909,Cr0.35175062 Ti0.4458498 Zr0.20239958,-0.187463436,-0.090651871,-0.048080778,2.308487105,0.071443411
Cr0.378109072Ti0.417336043Zr0.204554886,0.378109072,0.417336043,0.204554886,0.553782623,Cr0.37810907 Ti0.41733604 Zr0.20455489,-0.193443216,-0.095519006,-0.050594626,2.236953512,0.072884453
Cr0.405077206Ti0.389035832Zr0.205886961,0.405077206,0.389035832,0.205886961,0.557977994,Cr0.40507721 Ti0.38903583 Zr0.20588696,-0.197670198,-0.099018355,-0.052428863,2.17169034,0.074201377
Cr0.432485475Ti0.361138218Zr0.206376307,0.432485475,0.361138218,0.206376307,0.56632515,Cr0.43248548 Ti0.36113822 Zr0.20637631,-0.199965681,-0.101014987,-0.053580328,2.112342591,0.075379267
Cr0.460149536Ti0.333829082Zr0.206021381,0.460149536,0.333829082,0.206021381,0.569021937,Cr0.46014954 Ti0.33382908 Zr0.20602138,-0.200258306,-0.101448366,-0.054077016,2.058559742,0.076404731
Cr0.487882556Ti0.307282721Zr0.204834722,0.487882556,0.307282721,0.204834722,0.575470338,Cr0.48788256 Ti0.30728272 Zr0.20483472,-0.198591937,-0.100338867,-0.053977091,2.009984689,0.077266292
Cr0.515494922Ti0.281660292Zr0.202844786,0.515494922,0.281660292,0.202844786,0.57742034,Cr0.51549492 Ti0.28166029 Zr0.20284479,-0.195117965,-0.097784116,-0.052882893,1.966266501,0.077954804
Cr0.542803921Ti0.257101501Zr0.200094578,0.542803921,0.257101501,0.200094578,0.582826661,Cr0.54280392 Ti0.2571015 Zr0.20009458,-0.190072928,-0.093945238,-0.051012792,1.92705474,0.078463907
Cr0.569634341Ti0.233726153Zr0.196639506,0.569634341,0.233726153,0.196639506,0.584535497,Cr0.56963434 Ti0.23372615 Zr0.19663951,-0.183747973,-0.089026983,-0.048865357,1.892009791,0.078790054
Cr0.595827788Ti0.211628302Zr0.19254391,0.595827788,0.211628302,0.19254391,0.587701031,Cr0.59582779 Ti0.2116283 Zr0.19254391,-0.17645461,-0.083254353,-0.046566187,1.860800141,0.078932578
Cr0.621240517Ti0.190878377Zr0.187881106,0.621240517,0.190878377,0.187881106,0.592158651,Cr0.62124052 Ti0.19087838 Zr0.18788111,-0.1684969,-0.076853098,-0.044236935,1.833109128,0.078893775
Cr0.645751231Ti0.171519569Zr0.1827292,0.645751231,0.171519569,0.1827292,0.591141866,Cr0.64575123 Ti0.17151957 Zr0.1827292,-0.160147874,-0.070032154,-0.041988108,1.808631775,0.078678699
Cr0.669261257Ti0.153571336Zr0.177167407,0.669261257,0.153571336,0.177167407,0.84576086,Cr0.66926126 Ti0.15357134 Zr0.17716741,-0.151636454,-0.062973137,-0.039914279,1.787082238,0.078294686
Cr0.15139793Ti0.703866749Zr0.144735321,0.15139793,0.703866749,0.144735321,0.493033304,Cr0.15139793 Ti0.70386675 Zr0.14473532,-0.096195487,-0.015254783,-0.028691146,3.355879334,0.053722213
Cr0.167173911Ti0.681167166Zr0.151658923,0.167173911,0.681167166,0.151658923,0.507603227,Cr0.16717391 Ti0.68116717 Zr0.15165892,-0.105141376,-0.022890729,-0.03154819,3.21035213,0.055607571
Cr0.184170008Ti0.657422894Zr0.158407098,0.184170008,0.657422894,0.158407098,0.516968362,Cr0.18417001 Ti0.65742289 Zr0.1584071,-0.114540477,-0.030847363,-0.034366792,3.074120227,0.057497926
Cr0.202408115Ti0.632685267Zr0.164906618,0.202408115,0.632685267,0.164906618,0.521205091,Cr0.20240811 Ti0.63268527 Zr0.16490662,-0.12432025,-0.039055451,-0.037070246,2.94682188,0.059384549
Cr0.22189439Ti0.607022484Zr0.171083126,0.22189439,0.607022484,0.171083126,0.530405407,Cr0.22189439 Ti0.60702248 Zr0.17108313,-0.134371577,-0.047418944,-0.039571559,2.828123612,0.061257482
Cr0.242616964Ti0.580523993Zr0.176859043,0.242616964,0.580523993,0.176859043,0.541375,Cr0.24261696 Ti0.58052399 Zr0.17685904,-0.144540941,-0.055810453,-0.041775907,2.717699234,0.0631052
Cr0.264543557Ti0.553300254Zr0.182156189,0.264543557,0.553300254,0.182156189,0.55104347,Cr0.26454356 Ti0.55330025 Zr0.18215619,-0.154625299,-0.064068809,-0.043584489,2.615228918,0.064914737
Cr0.287618662Ti0.525480737Zr0.186900601,0.287618662,0.525480737,0.186900601,0.554161418,Cr0.28761866 Ti0.52548074 Zr0.1869006,-0.164371815,-0.071999923,-0.044899653,2.520401501,0.066672015
Cr0.311766845Ti0.497212957Zr0.191020198,0.311766845,0.497212957,0.191020198,0.555813221,Cr0.31176685 Ti0.49721296 Zr0.1910202,-0.17348499,-0.079382513,-0.04563082,2.432888174,0.068361871
Cr0.336886488Ti0.468663168Zr0.194450344,0.336886488,0.468663168,0.194450344,0.563318451,Cr0.33688649 Ti0.46866317 Zr0.19445034,-0.181640671,-0.085977761,-0.046198038,2.352371215,0.069968301
Cr0.362854747Ti0.440007311Zr0.197137942,0.362854747,0.440007311,0.197137942,0.561403345,Cr0.36285475 Ti0.44000731 Zr0.19713794,-0.188512969,-0.091547749,-0.049183506,2.278523921,0.071475245
Cr0.38953003Ti0.411430703Zr0.199039267,0.38953003,0.411430703,0.199039267,0.566963863,Cr0.38953003 Ti0.4114307 Zr0.19903927,-0.193804666,-0.095875527,-0.051518552,2.211010565,0.072866628
Cr0.416748784Ti0.383125474Zr0.200125742,0.416748784,0.383125474,0.200125742,0.567131623,Cr0.41674878 Ti0.38312547 Zr0.20012574,-0.197281004,-0.098787608,-0.053179266,2.149502392,0.074126959
Cr0.444339257Ti0.355278982Zr0.200381761,0.444339257,0.355278982,0.200381761,0.567686094,Cr0.44433926 Ti0.35527898 Zr0.20038176,-0.198799551,-0.100174392,-0.054172493,2.093655406,0.075241939
Cr0.472116255Ti0.328073657Zr0.199810088,0.472116255,0.328073657,0.199810088,0.572046786,Cr0.47211625 Ti0.32807366 Zr0.19981009,-0.198328355,-0.100003109,-0.054535364,2.043132039,0.076199003
Cr0.499893336Ti0.301680634Zr0.198426031,0.499893336,0.301680634,0.198426031,0.575836379,Cr0.49989334 Ti0.30168063 Zr0.19842603,-0.195947977,-0.098320453,-0.054333648,1.99759186,0.07698747
Cr0.527483563Ti0.276255565Zr0.196260872,0.527483563,0.276255565,0.196260872,0.578184643,Cr0.52748356 Ti0.27625556 Zr0.19626087,-0.191839774,-0.095246256,-0.05280237,1.956699822,0.077599161
Cr0.554704662Ti0.251935374Zr0.193359964,0.554704662,0.251935374,0.193359964,0.57782561,Cr0.55470466 Ti0.25193537 Zr0.19335996,-0.186260994,-0.090957907,-0.050911251,1.920127493,0.078028641
Cr0.581391664Ti0.228827636Zr0.1897807,0.581391664,0.228827636,0.1897807,0.57946283,Cr0.58139166 Ti0.22882764 Zr0.1897807,-0.17951121,-0.085667995,-0.048785047,1.887543649,0.078273578
Cr0.607389182Ti0.207023815Zr0.185587003,0.607389182,0.207023815,0.185587003,0.582652914,Cr0.60738918 Ti0.20702381 Zr0.185587,-0.171901507,-0.079603192,-0.046547463,1.858641002,0.078334055
Cr0.632562766Ti0.186582939Zr0.180854294,0.632562766,0.186582939,0.180854294,0.583207196,Cr0.63256277 Ti0.18658294 Zr0.18085429,-0.163727391,-0.072984938,-0.044314953,1.833111817,0.078213591
Cr0.656798503Ti0.167542967Zr0.17565853,0.656798503,0.167542967,0.17565853,0.582688898,Cr0.6567985 Ti0.16754297 Zr0.17565853,-0.155248259,-0.066013847,-0.042192196,1.810670467,0.07791786
Cr0.680005354Ti0.149915454Zr0.170079192,0.680005354,0.149915454,0.170079192,0.763594921,Cr0.68000535 Ti0.14991545 Zr0.17007919,-0.146677966,-0.058861804,-0.040266316,1.791042315,0.077455083
Cr0.142467961Ti0.722545889Zr0.13498615,0.142467961,0.722545889,0.13498615,0.759960653,Cr0.14246796 Ti0.72254589 Zr0.13498615,-0.090323258,-0.01020074,-0.026753038,3.420774627,0.05199976
Cr0.157585323Ti0.700568718Zr0.141845959,0.157585323,0.700568718,0.141845959,0.522791684,Cr0.15758532 Ti0.70056872 Zr0.14184596,-0.098898587,-0.017566368,-0.029570152,3.272949378,0.05388545
Cr0.17390399Ti0.677512984Zr0.148583026,0.17390399,0.677512984,0.148583026,0.53249554,Cr0.17390399 Ti0.67751298 Zr0.14858303,-0.107946428,-0.02527646,-0.032392746,3.134420925,0.055779853
Cr0.191453788Ti0.653418428Zr0.155127784,0.191453788,0.653418428,0.155127784,0.532409543,Cr0.19145379 Ti0.65341843 Zr0.15512778,-0.117413766,-0.0332766,-0.035152872,3.004808224,0.057674929
Cr0.210247163Ti0.628341586Zr0.161411251,0.210247163,0.628341586,0.161411251,0.540352903,Cr0.21024716 Ti0.62834159 Zr0.16141125,-0.127215566,-0.041488081,-0.037771215,2.883799432,0.059561498
Cr0.230286846Ti0.602355296Zr0.167357858,0.230286846,0.602355296,0.167357858,0.552449631,Cr0.23028685 Ti0.6023553 Zr0.16735786,-0.137230393,-0.049806169,-0.040159663,2.771037233,0.061429042
Cr0.251549742Ti0.575558517Zr0.172891741,0.251549742,0.575558517,0.172891741,0.552065955,Cr0.25154974 Ti0.57555852 Zr0.17289174,-0.14728829,-0.058091934,-0.042222913,2.666227858,0.06326529
Cr0.273996698Ti0.548065228Zr0.177938073,0.273996698,0.548065228,0.177938073,0.560240485,Cr0.2739967 Ti0.54806523 Zr0.17793807,-0.15717224,-0.066175096,-0.043863878,2.569052788,0.065057021
Cr0.297564046Ti0.520014653Zr0.182421301,0.297564046,0.520014653,0.182421301,0.558015998,Cr0.29756405 Ti0.52001465 Zr0.1824213,-0.166615728,-0.073852756,-0.044988034,2.479204856,0.066789408
Cr0.322165495Ti0.491557343Zr0.186277162,0.322165495,0.491557343,0.186277162,0.563857116,Cr0.3221655 Ti0.49155734 Zr0.18627716,-0.175315773,-0.080899362,-0.045510276,2.396378918,0.068447365
Cr0.34769242Ti0.462866837Zr0.189440743,0.34769242,0.462866837,0.189440743,0.570313467,Cr0.34769242 Ti0.46286684 Zr0.18944074,-0.182947589,-0.087076438,-0.047369675,2.320260419,0.070014493
Cr0.374013059Ti0.434121157Zr0.191865785,0.374013059,0.434121157,0.191865785,0.563965945,Cr0.37401306 Ti0.43412116 Zr0.19186579,-0.189195891,-0.092154058,-0.050182804,2.250538812,0.071475032
Cr0.400980636Ti0.405508546Zr0.193510818,0.400980636,0.405508546,0.193510818,0.564606804,Cr0.40098064 Ti0.40550855 Zr0.19351082,-0.193784156,-0.095929921,-0.052345005,2.186887022,0.072813044
Cr0.428427392Ti0.377221465Zr0.194351143,0.428427392,0.377221465,0.194351143,0.565717206,Cr0.42842739 Ti0.37722146 Zr0.19435114,-0.196508232,-0.098251915,-0.053841998,2.128988038,0.074013488
Cr0.456177053Ti0.349446404Zr0.194376544,0.456177053,0.349446404,0.194376544,0.568438164,Cr0.45617705 Ti0.3494464 Zr0.19437654,-0.197262695,-0.099036326,-0.054689887,2.076514117,0.07506276
Cr0.48404315Ti0.322364579Zr0.193592271,0.48404315,0.322364579,0.193592271,0.571355793,Cr0.48404315 Ti0.32236458 Zr0.19359227,-0.19605369,-0.098277344,-0.054934293,2.029142099,0.075948956
Cr0.511840338Ti0.296141993Zr0.192017668,0.511840338,0.296141993,0.192017668,0.572618962,Cr0.51184034 Ti0.29614199 Zr0.19201767,-0.192996584,-0.096046897,-0.054279524,1.986544802,0.076662387
Cr0.539384511Ti0.270928665Zr0.189686824,0.539384511,0.270928665,0.189686824,0.575394511,Cr0.53938451 Ti0.27092867 Zr0.18968682,-0.188299414,-0.09248491,-0.052699435,1.948401266,0.077195882
Cr0.566499405Ti0.246853841Zr0.186646755,0.566499405,0.246853841,0.186646755,0.57256206,Cr0.5664994 Ti0.24685384 Zr0.18664675,-0.182235311,-0.087781687,-0.050804467,1.914395852,0.077545046
Cr0.593021541Ti0.224022675Zr0.182955784,0.593021541,0.224022675,0.182955784,0.572893573,Cr0.59302154 Ti0.22402268 Zr0.18295578,-0.175110239,-0.082156318,-0.048715607,1.884219253,0.07770842
Cr0.618807219Ti0.20251312Zr0.178679661,0.618807219,0.20251312,0.178679661,0.57275755,Cr0.61880722 Ti0.20251312 Zr0.17867966,-0.167230848,-0.075834165,-0.046552568,1.85756945,0.07768734
Cr0.6437258Ti0.182381824Zr0.173892377,0.6437258,0.182381824,0.173892377,0.574042122,Cr0.6437258 Ti0.18238182 Zr0.17389238,-0.158882969,-0.069031494,-0.044427215,1.834160433,0.077486009
Cr0.66767267Ti0.163657639Zr0.168669691,0.66767267,0.163657639,0.168669691,0.573439028,Cr0.66767267 Ti0.16365764 Zr0.16866969,-0.150311505,-0.061939843,-0.042437386,1.813716885,0.077111007
Cr0.690563201Ti0.146346961Zr0.163089838,0.690563201,0.146346961,0.163089838,0.708177702,Cr0.6905632 Ti0.14634696 Zr0.16308984,-0.141715245,-0.05472125,-0.040663114,1.79597859,0.076571241
Cr0.71233349Ti0.130434715Zr0.157231795,0.71233349,0.130434715,0.157231795,0.71380704,Cr0.71233349 Ti0.13043472 Zr0.1572318,-0.133246389,-0.047506513,-0.039164212,1.780697647,0.07587771
Cr0.163941987Ti0.697019873Zr0.139038141,0.163941987,0.697019873,0.139038141,0.552631521,Cr0.16394199 Ti0.69701987 Zr0.13903814,-0.101541042,-0.019831087,-0.030394057,3.194528707,0.054056568
Cr0.180801554Ti0.673622032Zr0.145576414,0.180801554,0.673622032,0.145576414,0.560187073,Cr0.18080155 Ti0.67362203 Zr0.14557641,-0.110669489,-0.027597115,-0.03317224,3.062635043,0.055956236
Cr0.198898445Ti0.649191341Zr0.151910214,0.198898445,0.649191341,0.151910214,0.56548983,Cr0.19889845 Ti0.64919134 Zr0.15191021,-0.120180301,-0.035619868,-0.035863512,2.939334342,0.057852381
Cr0.218242928Ti0.62378972Zr0.157967352,0.218242928,0.62378972,0.157967352,0.573074927,Cr0.21824293 Ti0.62378972 Zr0.15796735,-0.129977774,-0.043812883,-0.038386888,2.824280496,0.059735122
Cr0.238825477Ti0.597498466Zr0.163676057,0.238825477,0.597498466,0.163676057,0.57230932,Cr0.23882548 Ti0.59749847 Zr0.16367606,-0.139924982,-0.052060224,-0.040652898,2.717171048,0.061593304
Cr0.260617572Ti0.570422444Zr0.168959984,0.260617572,0.570422444,0.168959984,0.572428603,Cr0.26061757 Ti0.57042244 Zr0.16895998,-0.149837911,-0.060213528,-0.042566846,2.617699383,0.06341409
Cr0.283569351Ti0.54268371Zr0.173746939,0.283569351,0.54268371,0.173746939,0.579254842,Cr0.28356935 Ti0.54268371 Zr0.17374694,-0.159484646,-0.068092658,-0.04403366,2.525569373,0.065183732
Cr0.307610796Ti0.514423731Zr0.177965473,0.307610796,0.514423731,0.177965473,0.57556865,Cr0.3076108 Ti0.51442373 Zr0.17796547,-0.168588739,-0.0754888,-0.044963011,2.440474464,0.066887331
Cr0.332645065Ti0.48580359Zr0.181551345,0.332645065,0.48580359,0.181551345,0.577581911,Cr0.33264507 Ti0.48580359 Zr0.18155135,-0.176840342,-0.082172377,-0.04527548,2.362124987,0.068509188
Cr0.358555807Ti0.456997176Zr0.184447018,0.358555807,0.456997176,0.184447018,0.571547835,Cr0.35855581 Ti0.45699718 Zr0.18444702,-0.183919005,-0.087908814,-0.048437992,2.290217217,0.070033246
Cr0.385206889Ti0.42818587Zr0.186607241,0.385206889,0.42818587,0.186607241,0.573089286,Cr0.38520689 Ti0.42818587 Zr0.18660724,-0.189522676,-0.092477867,-0.051082225,2.224443607,0.071443728
Cr0.412440308Ti0.399562659Zr0.187997033,0.412440308,0.399562659,0.187997033,0.572309239,Cr0.41244031 Ti0.39956266 Zr0.18799703,-0.193398457,-0.095693816,-0.053078372,2.164501997,0.072725012
Cr0.440088375Ti0.371316397Zr0.188595228,0.440088375,0.371316397,0.188595228,0.567271828,Cr0.44008837 Ti0.3713164 Zr0.18859523,-0.19537526,-0.097427721,-0.054421843,2.110076363,0.073862705
Cr0.46797022Ti0.343634608Zr0.188395172,0.46797022,0.343634608,0.188395172,0.57072385,Cr0.46797022 Ti0.34363461 Zr0.18839517,-0.195384462,-0.097621661,-0.055137471,2.060856051,0.074843756
Cr0.495899854Ti0.31669494Zr0.187405206,0.495899854,0.31669494,0.187405206,0.567984933,Cr0.49589985 Ti0.31669494 Zr0.18740521,-0.193469016,-0.096296069,-0.055278606,2.016529224,0.07565707
Cr0.523693412Ti0.290657716Zr0.185648872,0.523693412,0.290657716,0.185648872,0.56843203,Cr0.52369341 Ti0.29065772 Zr0.18564887,-0.189776212,-0.093546263,-0.05418668,1.976781117,0.076294008
Cr0.55116797Ti0.265669278Zr0.183162752,0.55116797,0.265669278,0.183162752,0.568739346,Cr0.55116797 Ti0.26566928 Zr0.18316275,-0.184537375,-0.089530037,-0.052578247,1.941306795,0.076748352
Cr0.578153519Ti0.241850213Zr0.179996268,0.578153519,0.241850213,0.179996268,0.569009174,Cr0.57815352 Ti0.24185021 Zr0.17999627,-0.178038153,-0.084448347,-0.050695618,1.909800584,0.077016869
