Co,Ti,Zr,Cr,Formula,composition,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010
0,0,0.5,0.5,Co0.0Ti0.0Zr0.5Cr0.5,Zr0.5 Cr0.5,Zr0.636949701892402 Cr0.36305029810759804 ,Zr0.5Cr0.5,0.097222222,1.034427206,-0.0083346,7,1.124709835,-0.005762826,71.61005,71.61005,-0.609683433,0.148148148,0.3,5,12,5.175,8,1,0,7,0,75.42,0.547334924,20.64,-0.123029259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.61005,5,4.5,16,32,0.15,1.475,0.33,1.495,1.5,0,3.5,0,0.3,0,0.7,0,-0.0083346,0.009070969,0.054392829,0.086877436,0.202975908
0,0,0.55,0.45,Co0.0Ti0.0Zr0.55Cr0.45,Zr0.55 Cr0.45,Zr0.6819656729591216 Cr0.31803432704087836 ,Zr0.55Cr0.45,0.095803467,1.036074055,-0.019053769,6.93,1.124256847,-0.005721186,73.571445,73.571445,-0.623338027,0.149622171,0.297,4.9,11.88,5.2825,8,1,0,7,0,71.292,0.57612469,20.4336,-0.12861347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.571445,4.9,4.55,16,32.8,0.15,1.4825,0.33,1.4785,1.55,0,3.35,0,0.316326531,0,0.683673469,0,-0.019053769,0.019053769,0.047140452,0.110447662,0.188833772
0,0,0.6,0.4,Co0.0Ti0.0Zr0.6000000000000001Cr0.4,Zr0.6 Cr0.4,Zr0.724643744363379 Cr0.2753562556366211 ,Zr0.6000000000000001Cr0.4,0.093441026,1.043701072,0.016849313,6.72,1.123807959,-0.005595419,75.53284,75.53284,-0.640851522,0.14958716,0.288,4.8,11.52,5.39,8,1,0,7,0,67.164,0.602197228,19.8144,-0.132625033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53284,4.8,4.6,16,33.6,0.15,1.49,0.33,1.462,1.6,0,3.2,0,0.333333333,0,0.666666667,0,0.016849313,0.016849313,0.023570226,0.135982073,0.184119727
0,0,0.65,0.35,Co0.0Ti0.0Zr0.65Cr0.35000000000000003,Zr0.65 Cr0.35,Zr0.765161434266691 Cr0.23483856573330905 ,Zr0.65Cr0.35000000000000003,0.090115714,1.057941255,0.008742937,6.37,1.123363114,-0.005382871,77.494235,77.494235,-0.662846465,0.147897551,0.273,4.7,10.92,5.4975,8,1,0,7,0,63.036,0.624700334,18.7824,-0.134724874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.494235,4.7,4.65,16,34.4,0.15,1.4975,0.33,1.4455,1.65,0,3.05,0,0.35106383,0,0.64893617,0,0.008742937,0.014177331,0.094280904,0.141421356,0.198261863
0,0,0.7,0.3,Co0.0Ti0.0Zr0.7000000000000001Cr0.30000000000000004,Zr0.7 Cr0.3,Zr0.8036787323944193 Cr0.1963212676055806 ,Zr0.7000000000000001Cr0.30000000000000004,0.085770133,1.080035381,0.000660549,5.88,1.122922255,-0.005078726,79.45563,79.45563,-0.690371089,0.144333093,0.252,4.6,10.08,5.605,8,1,0,7,0,58.908,0.642251391,17.3376,-0.134413026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.45563,4.6,4.7,16,35.2,0.15,1.505,0.33,1.429,1.7,0,2.9,0,0.369565217,0,0.630434783,0,0.000660549,0.011030621,0.047140452,0.11785113,0.212403999
0,0,0.75,0.25,Co0.0Ti0.0Zr0.75Cr0.25,Zr0.75 Cr0.25,Zr0.8403402113992743 Cr0.1596597886007257 ,Zr0.75Cr0.25,0.080293746,1.112191073,-0.007397849,5.25,1.122485326,-0.004675254,81.417025,81.417025,-0.725173302,0.138564065,0.225,4.5,9,5.7125,8,1,0,7,0,54.78,0.652601838,15.48,-0.130954805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.417025,4.5,4.75,16,36,0.15,1.5125,0.33,1.4125,1.75,0,2.75,0,0.388888889,0,0.611111111,0,-0.007397849,0.007397849,0.023570226,0.109994388,0.235974225
0,0,0.8,0.2,Co0.0Ti0.0Zr0.8Cr0.2,Zr0.8 Cr0.2,Zr0.8752768402183683 Cr0.12472315978163173 ,Zr0.8Cr0.2,0.073490814,1.15839627,-0.015432258,4.48,1.122052272,-0.004160346,83.37842,83.37842,-0.770306058,0.130081301,0.192,4.4,7.68,5.82,8,1,0,7,0,50.652,0.651978204,13.2096,-0.123262447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.37842,4.4,4.8,16,36.8,0.15,1.52,0.33,1.396,1.8,0,2.6,0,0.409090909,0,0.590909091,0,-0.015432258,0.015432258,0,0.133564614,0.278400631
0,0,0.85,0.15,Co0.0Ti0.0Zr0.8500000000000001Cr0.15000000000000002,Zr0.85 Cr0.15,Zr0.9086075473681307 Cr0.09139245263186943 ,Zr0.8500000000000001Cr0.15000000000000002,0.065006501,1.226480831,-0.023442677,3.57,1.12162304,-0.003514403,85.339815,85.339815,-0.831645091,0.118040139,0.153,4.3,6.12,5.9275,8,1,0,7,0,46.524,0.633647506,10.5264,-0.109699492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.339815,4.3,4.85,16,37.6,0.15,1.5275,0.33,1.3795,1.85,0,2.45,0,0.430232558,0,0.569767442,0,-0.023442677,0.023442677,0.070710678,0.204275292,0.34911131
0,0,0.9,0.1,Co0.0Ti0.0Zr0.9Cr0.1,Zr0.9 Cr0.1,Zr0.9404405735040786 Cr0.05955942649592142 ,Zr0.9Cr0.1,0.054123711,1.334602923,-0.021269954,2.52,1.121197577,-0.00270274,87.30121,87.30121,-0.922633258,0.100840336,0.108,4.2,4.32,6.035,8,1,0,7,0,42.396,0.584206057,7.4304,-0.087745175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.30121,4.2,4.9,16,38.4,0.15,1.535,0.33,1.363,1.9,0,2.3,0,0.452380952,0,0.547619048,0,-0.021269954,0.030515544,0.141421356,0.27498597,0.419821988
0,0,0.95,0.05,Co0.0Ti0.0Zr0.9500000000000001Cr0.05,Zr0.95 Cr0.05,Zr0.970874645659288 Cr0.029125354340711878 ,Zr0.9500000000000001Cr0.05,0.038968445,1.54230745,0.032891264,1.33,1.12077583,-0.001650456,89.262605,89.262605,-1.086870306,0.074511093,0.057,4.1,2.28,6.1425,8,1,0,7,0,38.268,0.470197942,3.9216,-0.053391794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.262605,4.1,4.95,16,39.2,0.15,1.5425,0.33,1.3465,1.95,0,2.15,0,0.475609756,0,0.524390244,0,0.032891264,0.032891264,0.212132034,0.345696649,0.490532666
